1.29,-0.0045,1,4,10,-12310,-80243,-1.8012e+05
1.29,-0.0045,1,4,11,-11395,-76031,-1.8352e+05
1.29,-0.0045,1,4,12,-10603,-72336,-1.8607e+05
1.29,-0.0045,1,4,13,-9910.4,-69062,-1.8786e+05
1.29,-0.0045,1,4,14,-9297.4,-66136,-1.8899e+05
1.29,-0.0045,1,4,15,-8750.3,-63500,-1.8953e+05
1.29,-0.0045,1,4,16,-8258.3,-61109,-1.8955e+05
1.29,-0.0045,1,4,17,-7812.8,-58928,-1.891e+05
1.29,-0.0045,1,4,18,-7407,-56927,-1.8822e+05
1.29,-0.0045,1,4,19,-7035.5,-55084,-1.8695e+05
1.29,-0.0045,1,4,20,-6693.6,-53379,-1.8532e+05
1.29,-0.0045,1,5,1,-50003,-2.5037e+05,-50005
1.29,-0.0045,1,5,2,-33558,-1.9604e+05,-80151
1.29,-0.0045,1,5,3,-25564,-1.6467e+05,-1.0088e+05
1.29,-0.0045,1,5,4,-20733,-1.4359e+05,-1.163e+05
1.29,-0.0045,1,5,5,-17454,-1.2818e+05,-1.2819e+05
1.29,-0.0045,1,5,6,-15062,-1.1631e+05,-1.3753e+05
1.29,-0.0045,1,5,7,-13227,-1.068e+05,-1.4491e+05
1.29,-0.0045,1,5,8,-11767,-98982,-1.5074e+05
1.29,-0.0045,1,5,9,-10573,-92404,-1.553e+05
1.29,-0.0045,1,5,10,-9575.2,-86775,-1.588e+05
1.29,-0.0045,1,5,11,-8726,-81889,-1.6138e+05
1.29,-0.0045,1,5,12,-7992.8,-77598,-1.6319e+05
1.29,-0.0045,1,5,13,-7351.9,-73791,-1.643e+05
1.29,-0.0045,1,5,14,-6786,-70385,-1.6482e+05
1.29,-0.0045,1,5,15,-6281.8,-67313,-1.6479e+05
1.29,-0.0045,1,5,16,-5829.1,-64527,-1.6429e+05
1.29,-0.0045,1,5,17,-5419.7,-61983,-1.6335e+05
1.29,-0.0045,1,5,18,-5047.4,-59649,-1.6201e+05
1.29,-0.0045,1,5,19,-4706.9,-57499,-1.6032e+05
1.29,-0.0045,1,5,20,-4394,-55508,-1.583e+05
1.29,-0.0045,1,6,1,-46135,-2.6873e+05,-46137
1.29,-0.0045,1,6,2,-30435,-2.1125e+05,-73597
1.29,-0.0045,1,6,3,-22795,-1.7745e+05,-92213
1.29,-0.0045,1,6,4,-18185,-1.5446e+05,-1.0589e+05
1.29,-0.0045,1,6,5,-15062,-1.3752e+05,-1.1631e+05
1.29,-0.0045,1,6,6,-12788,-1.2439e+05,-1.2439e+05
1.29,-0.0045,1,6,7,-11047,-1.1383e+05,-1.3069e+05
1.29,-0.0045,1,6,8,-9665.1,-1.0511e+05,-1.3556e+05
1.29,-0.0045,1,6,9,-8536.9,-97759,-1.3926e+05
1.29,-0.0045,1,6,10,-7595.5,-91453,-1.4198e+05
1.29,-0.0045,1,6,11,-6795.9,-85969,-1.4387e+05
1.29,-0.0045,1,6,12,-6106.6,-81146,-1.4504e+05
1.29,-0.0045,1,6,13,-5505.1,-76862,-1.4558e+05
1.29,-0.0045,1,6,14,-4974.7,-73025,-1.4556e+05
1.29,-0.0045,1,6,15,-4502.8,-69563,-1.4505e+05
1.29,-0.0045,1,6,16,-4079.6,-66419,-1.4408e+05
1.29,-0.0045,1,6,17,-3697.4,-63548,-1.4272e+05
1.29,-0.0045,1,6,18,-3350.2,-60913,-1.4099e+05
1.29,-0.0045,1,6,19,-3033.1,-58484,-1.3892e+05
1.29,-0.0045,1,6,20,-2742.1,-56235,-1.3655e+05
1.29,-0.0045,1,7,1,-43124,-2.8366e+05,-43125
1.29,-0.0045,1,7,2,-28017,-2.2362e+05,-68449
1.29,-0.0045,1,7,3,-20660,-1.8777e+05,-85352
1.29,-0.0045,1,7,4,-16225,-1.6316e+05,-97599
1.29,-0.0045,1,7,5,-13227,-1.4491e+05,-1.0681e+05
1.29,-0.0045,1,7,6,-11047,-1.3068e+05,-1.1384e+05
1.29,-0.0045,1,7,7,-9381.3,-1.192e+05,-1.1921e+05
1.29,-0.0045,1,7,8,-8061.2,-1.0969e+05,-1.2325e+05
1.29,-0.0045,1,7,9,-6985.3,-1.0164e+05,-1.2622e+05
1.29,-0.0045,1,7,10,-6088.8,-94732,-1.2828e+05
1.29,-0.0045,1,7,11,-5328.5,-88712,-1.2957e+05
1.29,-0.0045,1,7,12,-4674,-83410,-1.3019e+05
1.29,-0.0045,1,7,13,-4103.6,-78695,-1.3023e+05
1.29,-0.0045,1,7,14,-3601.3,-74468,-1.2974e+05
1.29,-0.0045,1,7,15,-3154.8,-70651,-1.2879e+05
1.29,-0.0045,1,7,16,-2754.9,-67182,-1.2743e+05
1.29,-0.0045,1,7,17,-2394.2,-64013,-1.2569e+05
1.29,-0.0045,1,7,18,-2066.8,-61103,-1.2361e+05
1.29,-0.0045,1,7,19,-1768.1,-58419,-1.2122e+05
1.29,-0.0045,1,7,20,-1494.2,-55933,-1.1854e+05
1.29,-0.0045,1,8,1,-40684,-2.9593e+05,-40694
1.29,-0.0045,1,8,2,-26075,-2.3374e+05,-64269
1.29,-0.0045,1,8,3,-18952,-1.9616e+05,-79753
1.29,-0.0045,1,8,4,-14663,-1.7014e+05,-90806
1.29,-0.0045,1,8,5,-11767,-1.5074e+05,-98987
1.29,-0.0045,1,8,6,-9664.8,-1.3555e+05,-1.0512e+05
1.29,-0.0045,1,8,7,-8061,-1.2325e+05,-1.0969e+05
1.29,-0.0045,1,8,8,-6791.8,-1.1303e+05,-1.1303e+05
1.29,-0.0045,1,8,9,-5758.8,-1.0436e+05,-1.1536e+05
1.29,-0.0045,1,8,10,-4899.2,-96908,-1.1685e+05
1.29,-0.0045,1,8,11,-4171.1,-90403,-1.1761e+05
1.29,-0.0045,1,8,12,-3545.1,-84666,-1.1775e+05
1.29,-0.0045,1,8,13,-3000.1,-79558,-1.1734e+05
1.29,-0.0045,1,8,14,-2520.7,-74975,-1.1644e+05
1.29,-0.0045,1,8,15,-2095.1,-70833,-1.1511e+05
1.29,-0.0045,1,8,16,-1714.2,-67067,-1.1339e+05
1.29,-0.0045,1,8,17,-1371,-63624,-1.1132e+05
1.29,-0.0045,1,8,18,-1059.7,-60460,-1.0893e+05
1.29,-0.0045,1,8,19,-775.96,-57541,-1.0624e+05
1.29,-0.0045,1,8,20,-515.96,-54837,-1.0328e+05
1.29,-0.0045,1,9,1,-38670,-3.0608e+05,-38680
1.29,-0.0045,1,9,2,-24473,-2.4205e+05,-60789
1.29,-0.0045,1,9,3,-17548,-2.0296e+05,-75075
1.29,-0.0045,1,9,4,-13382,-1.7572e+05,-85110
1.29,-0.0045,1,9,5,-10573,-1.553e+05,-92410
1.29,-0.0045,1,9,6,-8536.6,-1.3925e+05,-97766
1.29,-0.0045,1,9,7,-6985,-1.2621e+05,-1.0165e+05
1.29,-0.0045,1,9,8,-5758.7,-1.1536e+05,-1.0437e+05
1.29,-0.0045,1,9,9,-4761.8,-1.0614e+05,-1.0615e+05
1.29,-0.0045,1,9,10,-3933.2,-98183,-1.0712e+05
1.29,-0.0045,1,9,11,-3232.2,-91236,-1.0742e+05
1.29,-0.0045,1,9,12,-2630.1,-85101,-1.0713e+05
1.29,-0.0045,1,9,13,-2106.5,-79635,-1.0632e+05
1.29,-0.0045,1,9,14,-1649.8,-74743,-1.0507e+05
1.29,-0.0045,1,9,15,-1241.5,-70303,-1.034e+05
1.29,-0.0045,1,9,16,-876.47,-66262,-1.0136e+05
1.29,-0.0045,1,9,17,-547.74,-62566,-98986
1.29,-0.0045,1,9,18,-249.89,-59168,-96312
1.29,-0.0045,1,9,19,21.466,-56032,-93359
1.29,-0.0045,1,9,20,269.93,-53125,-90151
1.29,-0.0045,1,10,1,-36966,-3.1448e+05,-36976
1.29,-0.0045,1,10,2,-23123,-2.4886e+05,-57834
1.29,-0.0045,1,10,3,-16368,-2.0845e+05,-71091
1.29,-0.0045,1,10,4,-12309,-1.8012e+05,-80247
1.29,-0.0045,1,10,5,-9574.7,-1.5879e+05,-86781
1.29,-0.0045,1,10,6,-7595.1,-1.4197e+05,-91460
1.29,-0.0045,1,10,7,-6088.5,-1.2827e+05,-94741
1.29,-0.0045,1,10,8,-4899,-1.1684e+05,-96918
